"","id","gender","age","province","smoked_cigarettes","age_first_time_cigarettes","freq_cigarettes_30_days","freq_little_cigars_30_days","freq_cigars_30_days","freq_tabacco_pipe_30_days","freq_chewing_tabacco_30_days","freq_tabacco_waterpipe_30_days","when_quit_smoking","num_try_stop_smoking","quit_smoking_by_vaping","vaped","age_first_time_vape","freq_vaped_30_days","main_reason_vaping","num_try_stop_vaping","harm_vaping","smoked_cannabis","age_first_time_cannabis","freq_cannabis_30_days","freq_cannabis_tobacco_mix_30_days","first_product","freq_alcohol_30_days","smoking_status"
"1",50000,"Male","20-24","Nova Scotia","Yes","20-24","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","Yes","20-24","Not at all","Valid skip","Cannabis","At least once a week","Never smoked"
"2",50001,"Female","45-54","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"3",50002,"Male","35-44","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"4",50003,"Female","55-64","New Brunswick","Yes","15-19","Daily","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","0","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Current smoker"
"5",50004,"Male","25-34","Prince Edward Island","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"6",50005,"Male","25-34","Nova Scotia","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","20-24","Not at all","Valid skip","Cigarette","Not at all","Never smoked"
"7",50006,"Male","45-54","Quebec","Yes","10-14","Daily","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","0","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","Yes","20-24","Not at all","Valid skip","Cigarette","Daily","Current smoker"
"8",50007,"Male","20-24","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"9",50008,"Female","20-24","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"10",50009,"Female","15-19","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","10-14","Less than once a week, but at least once in the past month","Other","0","Don't know","Yes","10-14","Less than daily, but at least once a week","Less than daily, but at least once a week","Cannabis","Not at all","Never smoked"
"11",50010,"Male","35-44","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"12",50011,"Male","55-64","Quebec","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","Yes","15-19","Daily","Not at all","Cigarette","Not at all","Former smoker"
"13",50012,"Female","15-19","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"14",50013,"Female","65 and older","Ontario","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Daily","Former smoker"
"15",50014,"Male","15-19","Ontario","Yes","15-19","Less than daily, but at least once in the past month","Not at all","Not at all","Less than once a week, but at least once in the past month","Not at all","Less than once a week, but at least once in the past month","Valid skip","Not stated","Not stated","Yes","15-19","Less than once a week, but at least once in the past month","To reduce stress","0","Somewhat less harmful than cigarettes","Yes","10-14","Less than daily, but at least once a week","Less than once a week, but at least once in the past month","Cannabis","Not at all","Current smoker"
"16",50015,"Male","35-44","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","15-19","Daily","Not at all","Valid skip","At least once a week","Never smoked"
"17",50016,"Female","35-44","Saskatchewan","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"18",50017,"Female","25-34","British Columbia","Yes","20-24","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","20-24","Not at all","Valid skip","Valid skip","About the same as cigarettes","Yes","20-24","Not at all","Valid skip","Cigarette","Less than once a week, but at least once in the past month","Never smoked"
"19",50018,"Male","15-19","Nova Scotia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"20",50019,"Female","15-19","Quebec","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","About the same as cigarettes","Yes","15-19","Not at all","Valid skip","Cigarette","Less than once a week, but at least once in the past month","Never smoked"
"21",50020,"Female","65 and older","Quebec","Yes","20-24","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","Yes","50-54","Not at all","Valid skip","Valid skip","Don't know","Yes","15-19","Daily","Not at all","Cigarette","Less than once a week, but at least once in the past month","Former smoker"
"22",50021,"Female","45-54","Alberta","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"23",50022,"Female","55-64","Ontario","Yes","10-14","Less than daily, but at least once in the past month","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","4 or more","No","Yes","55-59","Not at all","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Cigarette","At least once a week","Current smoker"
"24",50023,"Female","20-24","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"25",50024,"Female","25-34","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","20-24","Not at all","Valid skip","Valid skip","Somewhat less harmful than cigarettes","Yes","20-24","Not at all","Valid skip","An e-cigarette or vaping device","Less than once a week, but at least once in the past month","Never smoked"
"26",50025,"Male","65 and older","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Much less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"27",50026,"Male","55-64","Nova Scotia","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Former smoker"
"28",50027,"Female","20-24","Manitoba","Yes","15-19","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","About the same as cigarettes","Yes","15-19","Not at all","Valid skip","Cannabis","Not at all","Never smoked"
"29",50028,"Male","65 and older","Quebec","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Former smoker"
"30",50029,"Male","15-19","British Columbia","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","Somewhat less harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"31",50030,"Male","35-44","Quebec","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","10-14","Not at all","Valid skip","Cigarette","At least once a week","Never smoked"
"32",50031,"Female","20-24","Saskatchewan","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","At least once a week","Never smoked"
"33",50032,"Female","15-19","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","About the same as cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"34",50033,"Female","25-34","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"35",50034,"Female","20-24","Saskatchewan","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","Yes","15-19","Not at all","Valid skip","Valid skip","About the same as cigarettes","Yes","15-19","Daily","Not at all","An e-cigarette or vaping device","Daily","Never smoked"
"36",50035,"Female","35-44","Ontario","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"37",50036,"Female","55-64","Saskatchewan","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Somewhat more harmful than cigarettes","No","Valid skip","Valid skip","Valid skip","Valid skip","Less than once a week, but at least once in the past month","Never smoked"
"38",50037,"Female","65 and older","Quebec","No","Valid skip","Valid skip","Not at all","Not at all","Not at all","Not at all","Not at all","Valid skip","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","No","Valid skip","Valid skip","Valid skip","Valid skip","Not at all","Never smoked"
"39",50038,"Male","55-64","Newfoundland and Labrador","Yes","10-14","Not at all","Not at all","Not at all","Not at all","Not at all","Not at all","More than 5 years ago","Valid skip","Valid skip","No","Valid skip","Valid skip","Valid skip","Valid skip","Don't know","Yes","10-14","Not at all","Valid skip","Cigarette","Not at all","Former smoker"
